,0,1,drugs,Accession Number in DrugBank,
17,18,0.978653014,Baloxavir Marboxil,DB13997,
154,155,0.978643298,Tenofovir Disoproxil,DB00300,
156,157,0.978285968,Terlipressin,DB02638,
33,34,0.977795124,Censavudine,DB12074,
71,72,0.977686644,Ganciclovir,DB01004,
125,126,0.975845218,Presatovir,DB12165,
62,63,0.975818157,Equilin,DB02187,
106,107,0.974890828,Mycophenolic Acid,DB01024,
38,39,0.974360883,Clomifene,DB00882,
67,68,0.973324656,Flavin Adenine Dinucleotide,DB03147,
73,74,0.973295212,Glecaprevir,DB13879,
98,99,0.972647071,Memantine,DB01043,
120,121,0.972346544,Phenazopyridine,DB01438,
46,47,0.971901059,Darunavir,DB01264,
6,7,0.97067076,Amiloride,DB00594,
92,93,0.969645023,Loperamide,DB00836,
117,118,0.969508648,Paroxetine,DB00715,
169,170,0.966310322,Valrubicin,DB00385,
145,146,0.96619463,Simeprevir,DB06290,
167,168,0.963813663,Valganciclovir,DB01610,
58,59,0.962944627,Emetine,DB13393,
129,130,0.961659431,Pyrvinium Pamoate,DB06816,
135,136,0.957638144,Ramipril,DB00178,
100,101,0.948151946,Mesalazine,DB00244,
208,209,0.946057916,TMC-310911,DB15623,
77,78,0.940710068,Grazoprevir,DB11575,
74,75,0.933908224,Methylprednisolone,DB00959,
137,138,0.911434174,Resveratrol,DB02709,
51,52,0.900697708,Dolutegravir,DB08930,
11,12,0.89506197,Anisomycin,DB07374,
97,98,0.864874005,Melatonin,DB01065,
19,20,0.773097277,Berberine,DB04115,
111,112,0.758874476,Nim811,DB13068,
199,200,0.726945639,Artemether,DB06697,
209,210,0.688449383,N4-Hydroxycytidine,DB15660,
194,195,0.669592619,Clarithromycin,DB01211,
214,215,0.559257627,Rifamycin,DB11753,
24,25,0.493108511,Bortezomib,DB00188,
110,111,0.444143236,Niclosamide,DB06803,
107,108,0.433980197,Myricetin,DB02375,
102,103,0.318311483,Monensin Sodium,DB11430,
49,50,0.307824671,Diosmin,DB08995,
124,125,0.292205155,Plicamycin,DB06810,
79,80,0.234365582,Hydrocortisone,DB00741,
178,179,0.216223508,Docosanol,DB00632,
165,166,0.195069641,Umifenovir,DB13609,
20,21,0.19209516,Betulinic Acid,DB12480,
179,180,0.168345839,Pleconaril,DB05105,
175,176,0.167797357,Zanamivir,DB00558,
201,202,0.164760619,Pimodivir,DB14974,
45,46,0.163421005,Dactinomycin,DB00970,
164,165,0.161920846,Udenafil,DB06267,
143,144,0.156827569,Saquinavir,DB01232,
18,19,0.154162019,Bcx4430,DB11676,
136,137,0.151364207,Remdesivir,DB14761,
170,171,0.151213646,Vancomycin,DB00512,
59,60,0.145043135,Emodin,DB07715,
142,143,0.141709745,Ritonavir,DB00503,
81,82,0.139451861,Imatinib,DB00619,
217,218,0.137525618,Salinomycin,DB11544,
12,13,0.136001825,Apigenin,DB07352,
161,162,0.131181657,Triflupromazine Hydrochloride,DB00508,
203,204,0.13013351,Cidofovir,DB00369,
211,212,0.129276544,Ixazomib,DB09570,
200,201,0.129171252,Artesunate,DB09274,
210,211,0.126426458,EIDD-2801,DB15661,
56,57,0.122964948,Eltrombopag,DB06210,
8,9,0.121713132,Amodiaquine,DB00613,
158,159,0.120042771,Tideglusib,DB12129,
138,139,0.118901432,Ribavirin,DB00811牋,
204,205,0.116477072,Entecavir,DB00442,
132,133,0.116444796,Raloxifene,DB00481,
152,153,0.116437167,Tenofovir (Tfv),DB14126,
15,16,0.114866257,Asunaprevir,DB11586,
148,149,0.112004101,Stavudine,DB00649,
147,148,0.110693574,Sofosbuvir,DB08934,
63,64,0.110000104,Etacrynic Acid,DB00903,
53,54,0.106005847,Ebselen,DB12610,
207,208,0.10472396,Triazavirin,DB15622,
39,40,0.104390532,Clomipramine Hydrochloride,DB01242,
108,109,0.103431582,Nelfinavir,DB00220,
31,32,0.103085697,Cefotiam,DB00229,
140,141,0.102033794,Rilpivirine,DB08864,
36,37,0.100645423,Chlorthalidone,DB00310,
47,48,0.09756735,Dasatinib,DB01254,
114,115,0.096555084,Omacetaxine Mepesuccinate,DB04865,
153,154,0.096299738,Tenofovir Alafenamide,DB09299,
32,33,0.095038205,Cenicriviroc,DB11758,
151,152,0.09355697,Tamoxifen,DB00675,
50,51,0.09196046,Disulfiram,DB00822,
93,94,0.090035051,Lopinavir,DB01601,
21,22,0.08828184,Bictegravir,DB11799,
69,70,0.088012904,Fluspirilene,DB04842,
85,86,0.087497294,Isatin,DB02095,
139,140,0.08724153,Rifabutin,DB00615,
206,207,0.086718291,Trifluridine,DB00432,
118,119,0.078315943,Pentoxifylline,DB00806,
3,4,0.074911386,Alisporivir,DB12139,
23,24,0.074909508,Boceprevir,DB08873,
86,87,0.067108095,Lamivudine,DB00709,
174,175,0.062330216,Ximelagatran,DB04898,
16,17,0.058855742,Atazanavir,DB01072,
25,26,0.052313387,Camostat,DB13729,
183,184,0.047300875,Ginsenosides,DB14152,
9,10,0.037981838,Ampicillin,DB00415,
4,5,0.031468421,Amantadine,DB00915,
188,189,0.023313552,Bvdu,DB03312,
212,213,0.022673517,Adefovir,DB13868,
40,41,0.019117653,Cobicistat,DB09065,
99,100,0.016313165,Mercaptopurine,DB01033,
52,53,0.015661418,Doxycycline,DB00254,
184,185,0.014363796,Favipiravir,DB12466,
1,2,0.013563395,Abacavir,DB01048,
202,203,0.013417095,Azithromycin,DB00207,
187,188,0.011911035,Cholesterol,DB04540,
70,71,0.009883463,Fosamprenavir,DB01319,
94,95,0.009811282,Maraviroc,DB04835,
166,167,0.009495318,Valaciclovir,DB00577,
89,90,0.009336859,Ledipasvir,DB09027,
176,177,0.008622646,Zidovudine,DB00495,
83,84,0.007911444,Inulin,DB00638,
205,206,0.005672693,Telbivudine,DB01265,
26,27,0.005494803,Camphor,DB01744,
177,178,0.005342275,Penciclovir,DB00299,
181,182,0.004597515,Pirodavir,DB08012,
213,214,0.002361655,Sodium lauryl sulfate,DB00815,
66,67,0.000542551,Fenoterol,DB01288,
78,79,0.000517547,Hexachlorophene,DB00756,
173,174,0.000517368,Voxilaprevir,DB12026,
10,11,0.000516504,Anidulafungin,DB00362,
180,181,0.000508994,Rupintrivir,DB05102,
185,186,0.000506699,Azathioprine,DB00993,
48,49,0.00050661,Didanosine,DB00900,
127,128,0.000505894,Propericiazine,DB01608,
27,28,0.00050509,Capreomycin,DB00314,
126,127,0.000503898,Promethazine Hydrochloride,DB01069,
64,65,0.000503123,Etravirine,DB06414,
157,158,0.000501692,Thiothixene,DB01623,
195,196,0.000501543,Artemisinin,DB13132,
155,156,0.000499398,Terconazole,DB00251,
61,62,0.000497848,Eplerenone,DB00700,
115,116,0.000496507,Oseltamivir,DB00198,
168,169,0.000495076,Valinomycin,DB14057,
30,31,0.000494272,Ceforanide,DB00923,
163,164,0.000494123,Trovafloxacin,DB00685,
29,30,0.000492632,Carvedilol,DB01136,
218,219,0.00049239,Vismodegib,DB08828,
197,198,0.000491828,Quinine,DB00468,
162,163,0.00049144,Trimethoprim,DB00440,
90,91,0.000489622,Letermovir,DB12070,
35,36,0.000489116,Chlorphenoxamine ,DB09007,
42,43,0.000487715,Cyclosporin A,DB00091牋,
112,113,0.000487655,Nitazoxanide,DB00507,
122,123,0.000485778,Pibrentasvir,DB13878,
196,197,0.000484109,Sulfadoxine,DB01299,
134,135,0.000483841,Raltitrexed,DB00293,
82,83,0.000483036,Indinavir,DB00224,
133,134,0.000481725,Raltegravir,DB06817,
113,114,0.000481576,Nystatin,DB00646,
87,88,0.000479549,Laninamivir,DB12791,
198,199,0.000479281,Piperaquine,DB13941,
65,66,0.000479251,Felypressin,DB00093,
75,76,0.000478327,Glycyrrhizic Acid,DB13751,
123,124,0.000475466,Piperacillin,DB00319,
